#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 02 07 13 50  95  5.4  6.5  0.27 10.81  3.19  63 1031.2   2.2   1.9 999.0 99.0 99.00
2018 02 07 14 50  98  5.3  6.3  0.34 11.43  3.14  57 1030.6   2.7   2.0 999.0 99.0 99.00
2018 02 07 15 50  99  6.9  8.2  0.40  3.13  3.11  77 1027.8   3.1   2.0 999.0 99.0 99.00
2018 02 07 16 50  95  7.1  8.6  0.49  3.70  3.43  78 1025.3   2.9   1.8 999.0 99.0 99.00
2018 02 07 17 50 102  5.9  6.9  0.56  4.00  3.65  75 1023.1   2.8   1.8 999.0 99.0 99.00
2018 02 07 18 50  99  4.3  5.5  0.51  4.17  3.82  80 1021.5   2.8   1.7 999.0 99.0 99.00
2018 02 07 19 50  99  7.5  8.8  0.54  4.76  3.79  83 1017.6   3.0   1.8 999.0 99.0 99.00
2018 02 07 20 50 153  9.5 11.8  0.58  4.35  3.54  65 1015.1   5.9   1.7 999.0 99.0 99.00
2018 02 07 21 50 194 12.3 15.2  0.94  3.33  3.59 140 1014.4   7.2   1.8 999.0 99.0 99.00
2018 02 07 22 50 216  9.5 11.2  1.03  4.00  3.77 188 1014.4   6.6   1.8 999.0 99.0 99.00
2018 02 07 23 50 203 10.5 12.0  0.83  3.57  3.65 207 1012.4   6.9   1.9 999.0 99.0 99.00
2018 02 08 00 50 205 10.5 12.7  0.87  3.70  3.62 211 1011.4   6.9   2.0 999.0 99.0 99.00
2018 02 08 01 50 193 10.3 11.9  0.90  3.57  3.56 199 1009.6   6.0   2.3 999.0 99.0 99.00
2018 02 08 02 50 249 11.5 14.3  0.92  3.70  3.48 192 1010.5   6.4   2.5 999.0 99.0 99.00
2018 02 08 03 50 244  7.0  8.4  0.78  3.33  3.47 209 1010.8   4.2   2.3 999.0 99.0 99.00
2018 02 08 04 50 301 10.5 12.5  0.58  5.56  3.46 102 1011.7   3.7   2.0 999.0 99.0 99.00
2018 02 08 05 50 318  7.4  8.7  0.62  3.45  3.19 290 1013.2   2.6   1.9 999.0 99.0 99.00
2018 02 08 06 50 316  9.6 11.9  0.70  3.45  3.20 302 1014.7   1.9   1.9 999.0 99.0 99.00
2018 02 08 07 50 314  9.7 11.5  0.83  3.45  3.27 319 1015.6   1.1   1.8 999.0 99.0 99.00
2018 02 08 08 50 317 11.7 14.2  0.86  3.57  3.40 332 1016.5   0.1   1.7 999.0 99.0 99.00
2018 02 08 09 50 321  9.2 11.4  0.94  3.70  3.62 314 1018.2  -0.4   1.7 999.0 99.0 99.00
2018 02 08 10 50 323  9.1 10.8  0.86  4.17  3.76 304 1019.1  -0.9   1.7 999.0 99.0 99.00
2018 02 08 11 50 329 10.5 12.6  0.85  3.70  3.69 328 1019.9  -1.2   1.7 999.0 99.0 99.00
2018 02 08 12 50 327  9.8 11.8  0.90  4.35  3.78 312 1021.9  -1.6   1.9 999.0 99.0 99.00
2018 02 08 13 50 332 10.7 12.5  0.97  4.35  3.85 309 1022.8  -2.4   1.9 999.0 99.0 99.00
2018 02 08 14 50 335 10.3 12.8  0.90  4.00  3.67 318 1023.6  -2.7   2.0 999.0 99.0 99.00
2018 02 08 15 50 334  9.9 11.7  0.99  4.00  3.72 330 1024.2  -2.9   2.1 999.0 99.0 99.00
2018 02 08 16 50 340  7.9 10.5  0.81  3.70  3.51 327 1024.3  -2.8   2.1 999.0 99.0 99.00
2018 02 08 17 50 336  8.2  9.9  0.73  3.45  3.35 340 1023.7  -2.5   2.1 999.0 99.0 99.00
2018 02 08 18 50 340  7.4  8.6  0.62  3.45  3.26 344 1023.7  -2.3   1.9 999.0 99.0 99.00
2018 02 08 19 50 345  6.0  7.2  0.57  3.33  3.13   1 1024.6  -1.8   1.8 999.0 99.0 99.00
2018 02 08 20 50   5  4.5  6.3  0.47  2.94  3.12   1 1024.8  -1.7   1.7 999.0 99.0 99.00
2018 02 08 21 50   6  1.7  2.6  0.44  3.03  3.49  18 1025.7  -1.9   1.7 999.0 99.0 99.00
2018 02 08 22 50 208  0.3  0.8  0.42  9.09  3.57  81 1026.4  -2.3   1.7 999.0 99.0 99.00
2018 02 08 23 50 195  1.3  2.0  0.34 10.00  3.89  73 1027.3  -2.0   1.5 999.0 99.0 99.00
2018 02 09 00 50 194  1.7  2.8  0.30  7.14  3.88 112 1027.5  -1.9   1.8 999.0 99.0 99.00
2018 02 09 01 50 207  1.9  2.8  0.26  9.09  4.07  61 1027.9  -1.4   1.8 999.0 99.0 99.00
2018 02 09 02 50 298  6.3  7.8  0.27 10.00  3.92 100 1028.9  -0.8   2.1 999.0 99.0 99.00
2018 02 09 03 50 313  7.7 10.0  0.39  3.03  3.12 274 1029.3  -1.7   2.2 999.0 99.0 99.00
2018 02 09 04 50 302  5.7  7.1  0.53  3.13  3.15 286 1030.3  -2.4   2.2 999.0 99.0 99.00
2018 02 09 05 50 310  7.6  9.2  0.50  3.03  3.07 307 1030.4  -2.5   2.0 999.0 99.0 99.00
2018 02 09 06 50 305  6.6  7.9  0.41  3.13  2.98 284 1030.7  -2.5   1.9 999.0 99.0 99.00
2018 02 09 07 50 299  6.6  8.2  0.43  2.94  2.86 280 1031.4  -2.5   1.6 999.0 99.0 99.00
2018 02 09 08 50 297  6.7  7.9  0.40  2.60  2.87 301 1032.3  -2.7   1.6 999.0 99.0 99.00
2018 02 09 09 50 296  5.8  7.5  0.37  2.86  3.03 291 1032.8  -2.3   1.6 999.0 99.0 99.00
2018 02 09 10 50 301  6.1  7.3  0.38  2.86  3.14 298 1033.7  -2.6   1.5 999.0 99.0 99.00
2018 02 09 11 50 317  5.1  6.2  0.39  3.23  3.26 298 1033.6  -2.7   1.5 999.0 99.0 99.00
2018 02 09 12 50 312  5.3  6.4  0.33  3.23  3.28 284 1033.7  -2.3   1.7 999.0 99.0 99.00
2018 02 09 13 50 323  4.5  5.7  0.29  2.94  3.09 288 1035.0  -2.2   2.0 999.0 99.0 99.00
2018 02 09 14 50 329  4.1  5.1  0.30  3.13  3.00 283 1034.9  -2.5   2.1 999.0 99.0 99.00
2018 02 09 15 50 285  2.3  3.3  0.25  2.86  3.03 282 1035.5  -2.3   2.4 999.0 99.0 99.00
2018 02 09 16 50 246  1.6  2.7  0.21 99.00  3.26 999 1035.2  -2.1   2.5 999.0 99.0 99.00
2018 02 09 17 50 238  1.7  2.8  0.21 99.00  3.45 999 1034.7  -2.2   2.6 999.0 99.0 99.00
2018 02 09 18 50 218  4.3  5.2  0.17 99.00  3.76 999 1034.3  -1.5   2.5 999.0 99.0 99.00
2018 02 09 19 50 206  4.5  5.4  0.15 99.00  3.54 999 1033.5  -1.4   2.3 999.0 99.0 99.00
2018 02 09 20 50 235  5.8  6.8  0.13 99.00  3.76 999 1033.7  -0.9   2.1 999.0 99.0 99.00
2018 02 09 21 50 247  6.9  8.3  0.23 99.00  2.68 999 1033.4  -0.5   2.0 999.0 99.0 99.00
2018 02 09 22 50 235  5.9  7.1  0.34  2.60  2.74 265 1033.7  -0.3   1.8 999.0 99.0 99.00
2018 02 09 23 50 229  5.7  6.7  0.32  2.86  2.96 255 1033.6   0.3   1.7 999.0 99.0 99.00
